ID,Title,Definition
2.2.2.3.8,Application Profile Format,A tailored schema for metadata description.
2.2.2.3.8.1,DataCite Format,A standard for metadata associated with digital object identifiers.
2.2.2.3.8.2,schema.org Format,An extensible vocabulary for structuring data on the web.
2.2.2.3.8.3,Dublin Core AP Format,A data structure for expressing metadata according to Dublin Core principles.
2.2.2.3.8.4,EuropeanaData Format,A structured format for representing cultural heritage data.
2.2.2.3.9,Preservation Metadata Format,A specialized structure for documenting digital objects to ensure their long-term accessibility and usability.
2.2.2.3.9.1,OAIS AIP Format,A standard for preserving digital information over the long term.
2.2.2.3.9.2,PREMIS Event Format,A structured format for recording preservation-related actions on digital objects.
2.2.2.3.9.3,METSRights Format,Format for preservation rights.
2.2.2.4,Visualization Format,A defined format for the graphical display of data.
2.2.2.4.1,Chart Visualization Specification,A format for specifying axis-based graphical representations of data.
2.2.2.4.10,Immersive Visualization Specification,A format for VR and AR display content.
2.2.2.4.2,Graph Visualization Specification,A format for representing network or relational plot data.
2.2.2.4.3,Diagram Visualization Specification,A format for conceptual schematics and their visual representation.
2.2.2.4.4,Map Visualization Specification,A format for spatial data representation.
2.2.2.4.5,Infographic Visualization Specification,Format of designed data narratives.
2.2.2.4.6,Dashboard Visualization Specification,A format for integrated visual displays.
2.2.2.4.7,Animated Visualization Specification,A format for describing time-varying visual information.
2.2.2.4.8,Interactive Visualization Specification,A format for creating dynamic and user-controlled visual representations of data.
2.2.2.4.9,Scientific Visualization Specification,A format for domain-specific displays.
2.2.3,Encoding Scheme Specification,A set of rules that define data representation.
2.2.3.1,Character Encoding Scheme Specification,A system for representing characters as numerical codes.
2.2.3.2,Serialization Scheme Specification,A set of rules for structuring data for transmission or storage.
2.2.3.3,Error-Correcting Code Scheme Specification,A set of rules designed to detect and correct errors in transmitted data.
2.2.3.4,Cryptographic Encoding Scheme Specification,A set of rules for secure data transformation.
2.2.3.5,Compression Codec Scheme Specification,A set of rules for reducing data size efficiently.
2.2.3.6,Notation System Specification,A set of rules for creating and using symbols.
2.2.4,Semantic Representation Specification,A formal model of meaning and relational properties.
2.2.4.1,Ontology Language Specification,"A formal description of concepts, relationships, and properties for knowledge representation."
2.2.4.2,Taxonomy Construction Rules Specification,A classification system arranging terms in a hierarchy.
2.2.4.3,Conceptual Graph Language Specification,A graph-based formal language for representing meaning.
2.2.4.4,Frame System Specification,A structured template defining event roles and their relationships.
2.2.4.5,Thesaurus Construction Rules Specification,A structured system of controlled vocabulary terms and their relationships.
2.2.5,Syntactic Representation Specification,A formal structure detailing how information is structured and expressed.
2.2.5.1,Formal Language Grammar Specification,A formal grammar defining the syntax of an information system or language.
2.2.5.1.1,Programming Language Grammar,A formal grammar defining syntax and semantics for programs.
2.2.5.1.1.1,Procedural & Low-Level Language Grammar,A description of syntax and rules for specific programming languages.
2.2.5.1.1.1.1,Assembler Language Grammar,An assembly language grammar defines the syntax rules for writing programs.
2.2.5.1.1.1.2,C Language Grammar,A set of rules defining the valid structure for the programming language.
2.2.5.1.1.1.3,Pascal Language Grammar,A set of rules defining the structure and syntax of the language.
2.2.5.1.1.1.4,Fortran Language Grammar,A formal set of rules describing the structure of the programming language.
2.2.5.1.1.1.5,Rust Language Grammar,A set of rules governing the syntax and structure of the programming language.
2.2.5.1.1.2,Object-Oriented Language Grammar,A set of rules governing the syntax for programming languages that use an object-oriented paradigm.
2.2.5.1.1.2.1,C++ Language Grammar,A collection of rules that define the valid structure of C++ code.
2.2.5.1.1.2.2,Java Language Grammar,A detailed set of rules defining the syntax of the Java programming language.
2.2.5.1.1.2.3,C# Language Grammar,A formal specification of the syntax and structure for C# code.
2.2.5.1.1.2.4,Smalltalk Language Grammar,A precise set of rules defining Smalltalk's syntax and structure.
2.2.5.1.1.3,Functional Language Grammar,A formal system for describing the syntax of functional programming languages.
2.2.5.1.1.3.1,Haskell Language Grammar,A set of rules defining the syntax and structure of the programming language.
2.2.5.1.1.3.2,OCaml Language Grammar,A formal description of the syntax and structure for OCaml.
2.2.5.1.1.3.3,Scheme Language Grammar,A structured system of rules governing the construction of valid programs in the Scheme programming language.
2.2.5.1.1.3.4,Lisp Language Grammar,A set of rules defining the syntax for Lisp programming languages.
2.2.5.1.1.3.5,Erlang Language Grammar,An established set of rules defining the structure of Erlang code.
2.2.5.1.1.3.6,Elixir Language Grammar,A formal description of the syntax and structure of the code.
2.2.5.1.1.4,Scripting & Dynamic Language Grammar,A set of rules governing the syntax and structure of dynamic programming languages.
2.2.5.1.1.4.1,JavaScript Language Grammar,A set of rules defining the syntax and structure of the scripting language.
2.2.5.1.1.4.2,TypeScript Language Grammar,A set of rules defining the structure of the TypeScript programming language.
2.2.5.1.1.4.3,Python Language Grammar,A precise set of rules for constructing valid Python code statements.
2.2.5.1.1.4.4,Perl Language Grammar,A set of rules governing the structure and syntax of the Perl programming language.
2.2.5.1.1.4.5,Ruby Language Grammar,A set of rules defining the syntax and structure of code written in the Ruby programming language.
2.2.5.1.1.5,Data-Oriented & DSL Grammar,A specification for building data languages and domain-specific languages.
2.2.5.1.1.5.1,SQL & Variants Language Grammar,A set of formal rules describing the syntax of a database query language.
2.2.5.1.1.5.2,R Language Grammar,An abstract set of rules governing the structure of expressions in R.
2.2.5.1.1.5.3,MATLAB Language Grammar,A formal description of the syntax and structure of the MATLAB programming language.
2.2.5.2,Data Schema Language,Structural definition for data.
2.2.5.2.1,Relational Database Schema Definition Language,Language for defining relational database schemas.
2.2.5.2.2,XML Schema Definition Language (XSD),Language for defining the structure of XML documents.
2.2.5.2.3,JSON Schema Language,Language for defining the structure of JSON data.
2.2.5.2.4,Avro Schema Language,Language for defining Avro data serialization schemas.
2.2.5.2.5,Parquet Schema Language,Language for defining Parquet columnar storage schemas.
2.2.6,Knowledge Representation Language Specification,Formal language for encoding knowledge.
2.2.6.1,Query Language Specification,Structure for information queries.
2.2.6.2,Rule Language Specification,Structure for logical rules.
2.2.6.3,Constraint Language Specification,Structure for data constraints.
2.2.7,Temporal Structure Specification (Calendaring System),"A formal system or abstract model defining the organization, measurement, and representation of time, typically involving cycles like days, months, and years."
2.2.7.1,Astronomical Calendar System,"A calendaring system primarily based on the observation or calculation of astronomical cycles (solar, lunar, or sidereal)."
2.2.7.1.1,Solar Calendar System,A calendaring system whose dates indicate the position of the Earth on its revolution around the Sun.
2.2.7.1.1.1,Gregorian Calendar,"The most widely used civil calendar in the world, a solar calendar with 365 days in a common year and 366 days in a leap year."
2.2.7.1.1.2,Julian Calendar,"A solar calendar introduced by Julius Caesar in 45 BC, which was the predominant calendar in the Roman world and later in most of Europe until it was replaced by the Gregorian calendar."
2.2.7.1.1.3,Ancient Egyptian Calendar,"An early solar calendar with 365 days, known for its consistent length and use of a 30-day month structure."
2.2.7.1.1.4,Baha'i Calendar,"A solar calendar with 19 months of 19 days each, plus an intercalary period of 'Ayyám-i-Há'."
2.2.7.1.1.5,Indian National Calendar (Saka Calendar),"The official civil calendar of India, a solar calendar used alongside the Gregorian calendar."
2.2.7.1.1.6,Thai Solar Calendar,"The current calendar in Thailand, based on the Gregorian calendar but using the Buddhist Era."
2.2.7.1.2,Lunar Calendar System,"A calendaring system whose dates indicate the phase of the Moon, typically not adjusted to the solar year, causing its seasons to drift."
2.2.7.1.2.1,Islamic Calendar (Hijri Calendar),"A purely lunar calendar with 12 lunar months, used in many Muslim countries for religious purposes."
2.2.7.1.3,Lunisolar Calendar System,"A calendaring system that combines both lunar and solar cycles to determine date, typically by adding an intercalary month periodically."
2.2.7.1.3.1,Hebrew Calendar,A lunisolar calendar used predominantly for Jewish religious observances.
2.2.7.1.3.2,Hindu Calendars,"A diverse group of lunisolar calendars used in India for religious and civil purposes, varying by region."
2.2.7.1.3.3,Traditional Chinese Calendar,A lunisolar calendar that determines traditional Chinese holidays and agricultural activities.
2.2.7.1.3.4,Buddhist Calendars,"Various lunisolar calendars used across Southeast Asian countries for religious purposes (e.g., Thai Lunar Calendar, Burmese Calendar)."
2.2.7.1.3.5,"Ancient Greek Calendars (e.g., Attic Calendar)","Various city-state specific lunisolar calendars used in ancient Greece, often aligning lunar months with the solar year for civic and religious festivals."
2.2.7.1.3.6,Maya Calendar (Tzolkin and Haab' Long Count),"A complex system including a 260-day ritual calendar (Tzolkin) and a 365-day civil calendar (Haab'), which interlock within a longer count."
2.2.7.1.3.7,Aztec Calendar (Xiuhpohualli and Tonalpohualli),"A system similar to the Maya, with a 365-day solar calendar (Xiuhpohualli) and a 260-day ritual calendar (Tonalpohualli)."
2.2.7.1.3.8,Inca Calendar,"A lunisolar calendar used by the Inca Empire, incorporating both solar and lunar observations for agricultural and religious purposes."
2.2.7.1.3.9,Cherokee Calendar,"A traditional lunisolar calendaring system used by the Cherokee people, tied to the cycles of the moon and solar events, often with month names reflecting agricultural or natural phenomena."
2.2.7.1.4,Sidereal Calendar System,"A calendaring system based on the sidereal year, which measures the Earth's orbital period with respect to the fixed stars."
2.2.7.1.4.1,Astronomical Sidereal Calendar,"Calendars used in astronomy based on Earth's true orbital period relative to distant stars, not the sun's apparent position."
2.2.7.2,Practical/Applied Calendar System,"A calendaring system designed for specific administrative, professional, or specialized temporal organization, not solely dependent on astronomical cycles."
2.2.7.2.1,Fiscal Calendar System,"A calendaring system used for business or financial reporting, often not aligned with standard astronomical years (e.g., a fiscal year starting July 1)."
2.2.7.2.2,Academic Calendar System,"A calendaring system used by educational institutions to schedule terms, semesters, and holidays."
2.2.7.2.3,Ecclesiastical Calendar System,"A calendaring system used by religious denominations to organize their liturgical year, feasts, and fasts (e.g., Christian Liturgical Calendar, specific denominational calendars)."
2.2.7.2.4,Broadcasting Calendar System,"A calendaring system used in media for scheduling television seasons, advertising periods, etc."
2.2.7.2.5,Sports League Calendar System,"A calendaring system used by sports organizations to schedule seasons, games, and playoffs."
2.2.7.3,Geological/Scientific Time Scale,"A hierarchical system of chronological dating that relates geological strata (stratigraphy) to time, used by Earth scientists to describe the timing and relationships of events in Earth history."
2.2.7.3.1,International Chronostratigraphic Chart,"The standard global geological time scale, managed by the International Commission on Stratigraphy."
2.2.7.4,Conceptual/Theoretical Calendar System,"A calendaring system proposed for theoretical or reform purposes, or as a simplified model, not necessarily in wide practical use."
2.2.7.4.1,French Republican Calendar,"A solar calendar proposed during the French Revolution, based on a decimal system, though short-lived."
2.2.7.4.2,Soviet Revolutionary Calendar,"A calendar used in the Soviet Union for a period, attempting to implement five- or six-day weeks and disrupting traditional cycles."
2.2.7.4.3,World Calendar,"A proposed calendar reform designed to be perpetual, with fixed dates for holidays and quarters."
2.2.7.4.4,Hanke-Henry Permanent Calendar,"A proposed calendar reform designed to be perpetual, with a regular 364-day year and an extra week every five or six years."
2.3,Information Characteristic Type,"An intrinsic or ascribed characteristic, quality, or attribute of information or informational constructs."
2.3.1,Information Assurance Characteristic Type,Concepts safeguarding information properties.
2.3.1.1,Confidentiality Characteristic Type,Information secrecy principle.
2.3.1.2,Integrity Characteristic Type,Information trustworthiness principle.
2.3.1.3,Availability Characteristic Type,Information accessibility principle.
2.3.1.4,Authenticity Characteristic Type,Information genuineness principle.
2.3.1.5,Non-Repudiation Characteristic Type,Information action accountability.
2.3.1.6,Trustworthiness Characteristic Type,Information system reliance.
2.3.2,Information Pragmatic Characteristic Type,Aspects of information use/interpretation.
2.3.2.1,Pragmatic Function Characteristic Type,Concept of information's purpose.
2.3.2.2,Contextuality Characteristic Type,Concept of information context.
2.3.2.3,Intentionality Characteristic Type,Concept of information intent.
2.3.2.4,Feedback Potential Characteristic Type,Concept of information feedback.
2.3.2.5,Controllability Characteristic Type,Concept of information control.
2.3.3,Information Unit Characteristic Type,A classification of fundamental units used to compose or measure information.
2.3.3.1,Symbolic Information Unit Characteristic Type,"Type of unit based on symbols (e.g., character, grapheme)."
2.3.3.2,Semantic Information Unit Characteristic Type,"Type of unit based on meaning (e.g., proposition, lexeme)."
2.3.3.3,Quantitative Information Unit Characteristic Type,"Type of unit for measuring information quantity (e.g., bit, nat)."
2.4,Information Operation (Abstract),Abstract actions on information.
2.4.1,Information Transformation Operation (Abstract),Abstract data conversion/change.
2.4.2,Information Analysis Operation (Abstract),Abstract pattern finding/analysis.
2.4.3,Information Interpretation Operation (Abstract),Abstract meaning extraction/decoding.
2.4.4,Information Generation Operation (Abstract),Abstract information synthesis/creation.
2.4.5,Information Filtering Operation (Abstract),Abstract information selection/reduction.
3,Physical,The fundamental domain of tangible reality and its characteristics within space-time
3.1,Physical Entity,discrete objects or continuous existences
3.1.1,Physical Substance,homogeneous materials
3.1.1.1,Subatomic Particle,fundamental constituent of matter and energy.
3.1.1.1.1,Elementary Particle,
3.1.1.1.1.1,Fermion,"A kind of elementary particle that are constituents of matter, obey Fermi-Dirac statistics, and have half-integer spin"
3.1.1.1.1.1.1,Quark,A kind of fermion that experiences the strong interaction and carries fractional electric charge
3.1.1.1.1.1.1.1,Up Quark,
3.1.1.1.1.1.1.2,Down Quark,
3.1.1.1.1.1.1.3,Charm Quark,
3.1.1.1.1.1.1.4,Strange Quark,
3.1.1.1.1.1.1.5,Top Quark,
3.1.1.1.1.1.1.6,Bottom Quark,
3.1.1.1.1.1.2,Lepton,A kind of fermion that does not experience the strong interaction
3.1.1.1.1.1.2.1,Electron,
3.1.1.1.1.1.2.2,Muon,
3.1.1.1.1.1.2.3,Tau,
3.1.1.1.1.1.2.4,Electron Neutrino,
3.1.1.1.1.1.2.5,Muon Neutrino,
3.1.1.1.1.1.2.6,Tau Neutrino,
3.1.1.1.1.1.3,Antiquark,The antiparticle of a quark
3.1.1.1.1.1.3.1,Anti-up Quark,
3.1.1.1.1.1.3.2,Anti-down Quark,
3.1.1.1.1.1.3.3,Anti-charm Quark,
3.1.1.1.1.1.3.4,Anti-strange Quark,
3.1.1.1.1.1.3.5,Anti-top Quark,
3.1.1.1.1.1.3.6,Anti-bottom Quark,
3.1.1.1.1.1.4,Antilepton,The antiparticle of a lepton
3.1.1.1.1.1.4.1,Positron,(Anti-electron)
3.1.1.1.1.1.4.2,Anti-muon,
3.1.1.1.1.1.4.3,Anti-tau,
3.1.1.1.1.1.4.4,Anti-electron Neutrino,
3.1.1.1.1.1.4.5,Anti-muon Neutrino,
3.1.1.1.1.1.4.6,Anti-tau Neutrino,
3.1.1.1.1.2,Boson,"A kind of elementary particle that are typically force carriers or associated with fundamental fields, obey Bose-Einstein statistics, and have integer spin"
3.1.1.1.1.2.1,Gauge Boson,"A kind of boson that mediates fundamental forces, spin-1"
3.1.1.1.1.2.1.1,Photon,
3.1.1.1.1.2.1.10,Gluon (Type 6 of 8),a
3.1.1.1.1.2.1.11,Gluon (Type 7 of 8),a
3.1.1.1.1.2.1.12,Gluon (Type 8 of 8),a
3.1.1.1.1.2.1.2,W\(^+\) Boson,a
3.1.1.1.1.2.1.3,W\(^-\) Boson,a
3.1.1.1.1.2.1.4,Z\(^0\) Boson,a
3.1.1.1.1.2.1.5,Gluon (Type 1 of 8),a
3.1.1.1.1.2.1.6,Gluon (Type 2 of 8),a
3.1.1.1.1.2.1.7,Gluon (Type 3 of 8),a
3.1.1.1.1.2.1.8,Gluon (Type 4 of 8),a
3.1.1.1.1.2.1.9,Gluon (Type 5 of 8),a
3.1.1.1.1.2.2,Scalar Boson,A kind of boson with spin-0
3.1.1.1.1.2.2.1,Higgs Boson,
3.1.1.1.2,Composite Particle,A subatomic particle composed of two or more elementary particles bound together by fundamental forces.
3.1.1.1.2.1,Hadron,"A composite particle that interacts via the strong nuclear force, composed of quarks and/or antiquarks, and gluons."
3.1.1.1.2.1.1,Baryon,"A type of hadron which is a fermion, typically composed of three quarks (qqq) or three antiquarks (antibaryon, \(\bar{q}\bar{q}\bar{q}\))."
3.1.1.1.2.1.1.1,Nucleon,A baryon that is a primary constituent of atomic nuclei.
3.1.1.1.2.1.1.1.1,Proton,"A stable nucleon with a positive electric charge, composed of two up quarks and one down quark (uud)."
3.1.1.1.2.1.1.1.2,Neutron,"A nucleon with no net electric charge, composed of one up quark and two down quarks (udd); stable within nuclei but decays when free."
3.1.1.1.2.1.1.2,Hyperon,"A baryon containing one or more strange quarks, but no charm, bottom, or top quarks; typically heavier than nucleons."
3.1.1.1.2.1.1.2.1,Lambda Baryon (\(\Lambda\)),"A hyperon with isospin 0 (e.g., \(\Lambda^0\) (uds))."
3.1.1.1.2.1.1.2.2,Sigma Baryon (\(\Sigma\)),"A hyperon with isospin 1 (e.g., \(\Sigma^+\) (uus), \(\Sigma^0\) (uds), \(\Sigma^-\) (dds))."
3.1.1.1.2.1.1.2.3,Xi Baryon (\(\Xi\)),"A hyperon containing two strange quarks (e.g., \(\Xi^0\) (uss), \(\Xi^-\) (dss))."
3.1.1.1.2.1.1.2.4,Omega Baryon (\(\Omega\)),"A hyperon containing three strange quarks (e.g., \(\Omega^-\) (sss))."
3.1.1.1.2.1.1.3,Charmed Baryon,A baryon containing one or more charm quarks.
3.1.1.1.2.1.1.3.1,Singly Charmed Baryon,"A baryon containing one charm quark (e.g., \(\Lambda_c^+\) (udc), \(\Sigma_c\) (uuc, udc, ddc), \(\Xi_c\) (usc, dsc), \(\Omega_c^0\) (ssc))."
3.1.1.1.2.1.1.3.2,Doubly Charmed Baryon,"A baryon containing two charm quarks (e.g., \(\Xi_{cc}^{++}\) (ccu), \(\Xi_{cc}^{+}\) (ccd))."
3.1.1.1.2.1.1.3.3,Triply Charmed Baryon,"A baryon containing three charm quarks (e.g., \(\Omega_{ccc}^{++}\) (ccc))."
3.1.1.1.2.1.1.4,Bottom Baryon,A baryon containing one or more bottom quarks.
3.1.1.1.2.1.1.4.1,Singly Bottom Baryon,"A baryon containing one bottom quark (e.g., \(\Lambda_b^0\) (udb), \(\Sigma_b\) (uub, udb, ddb), \(\Xi_b\) (usb, dsb), \(\Omega_b^-\) (ssb))."
3.1.1.1.2.1.1.4.2,Doubly Bottom Baryon,"A baryon containing two bottom quarks (e.g., \(\Xi_{bb}^{0}\) (bbu), \(\Xi_{bb}^{-}\) (bbd))."
3.1.1.1.2.1.1.4.3,Triply Bottom Baryon,"A baryon containing three bottom quarks (e.g., \(\Omega_{bbb}^-\) (bbb), hypothetical)."
3.1.1.1.2.1.1.5,Mixed Heavy Flavor Baryon,A baryon containing a combination of charm and bottom quarks.
3.1.1.1.2.1.1.5.1,Charm-Bottom Baryon,"A baryon containing one charm quark and one bottom quark (e.g., \(\Xi_{bc}\) (ucb, dcb), \(\Omega_{bc}\) (scb))."
3.1.1.1.2.1.1.5.2,Charm-Charm-Bottom Baryon,"A baryon with two charm quarks and one bottom quark (e.g., \(\Omega_{ccb}\))."
3.1.1.1.2.1.1.5.3,Charm-Bottom-Bottom Baryon,"A baryon with one charm quark and two bottom quarks (e.g., \(\Omega_{cbb}\))."
3.1.1.1.2.1.1.6,Antibaryon,"The antiparticle of a baryon, composed of three antiquarks."
3.1.1.1.2.1.1.6.1,Antinucleon,The antiparticle of a nucleon.
3.1.1.1.2.1.1.6.1.1,Antiproton (\(\bar{p}\)),The antiparticle of a proton ( \(\bar{u}\bar{u}\bar{d}\) ).
3.1.1.1.2.1.1.6.1.2,Antineutron (\(\bar{n}\)),The antiparticle of a neutron ( \(\bar{u}\bar{d}\bar{d}\) ).
3.1.1.1.2.1.1.6.2,Antihyperon,"The antiparticle of a hyperon (e.g., \(\bar{\Lambda}^0\), \(\bar{\Sigma}^+\), \(\bar{\Xi}^0\), \(\bar{\Omega}^+\))."
3.1.1.1.2.1.2,Meson,"A type of hadron which is a boson, typically composed of one quark and one antiquark (q\(\bar{q}\))."
3.1.1.1.2.1.2.1,Light Meson,"A meson composed of up, down, and/or strange quarks and antiquarks."
3.1.1.1.2.1.2.1.1,Pion (\(\pi\)),"The lightest type of meson (e.g., \(\pi^+\) (u\(\bar{d}\)), \(\pi^0\), \(\pi^-\) (d\(\bar{u}\)))."
3.1.1.1.2.1.2.1.2,Kaon (K),"A meson containing one strange quark or antiquark (e.g., \(K^+\) (u\(\bar{s}\)), \(K^0\) (d\(\bar{s}\)))."
3.1.1.1.2.1.2.1.3,"Eta Meson (\(\eta, \eta'\))","Flavor-neutral light mesons (e.g., \(\eta\), \(\eta'(958)\))."
3.1.1.1.2.1.2.1.4,Rho Meson (\(\rho\)),"A short-lived vector meson (e.g., \(\rho(770)\))."
3.1.1.1.2.1.2.1.5,Omega Meson (\(\omega\)),"A short-lived, unflavored vector meson, distinct from the Omega baryon (e.g., \(\omega(782)\))."
3.1.1.1.2.1.2.1.6,Phi Meson (\(\phi\)),"A vector meson consisting primarily of a strange quark and strange antiquark pair (s\(\bar{s}\)) (e.g., \(\phi(1020)\))."
3.1.1.1.2.1.2.1.7,Other Light Meson Family,"Other light mesons often categorized by their spin, parity, and C-parity, such as f-mesons, a-mesons, and K* (vector kaon) mesons."
3.1.1.1.2.1.2.2,Heavy Quarkonium,A flavorless meson composed of a heavy quark and its own antiquark.
3.1.1.1.2.1.2.2.1,Charmonium (c\(\bar{c}\)),"A meson made of a charm quark and a charm antiquark (e.g., J/\(\psi\), \(\psi(2S)\), \(\chi_c\))."
3.1.1.1.2.1.2.2.2,Bottomonium (b\(\bar{b}\)),"A meson made of a bottom quark and a bottom antiquark (e.g., \(\Upsilon(1S)\), \(\Upsilon(2S)\), \(\chi_b\))."
3.1.1.1.2.1.2.3,Heavy Flavor Meson (Open Flavor),"A meson composed of one heavy quark (charm or bottom) and one lighter antiquark, or vice versa."
3.1.1.1.2.1.2.3.1,Charmed Meson (Open Charm),"A meson containing one charm quark or antiquark, and a lighter antiquark or quark (e.g., D\(^0\) (c\(\bar{u}\)), D\(^+\) (c\(\bar{d}\)), D_s\(^+\) (c\(\bar{s}\)), D* mesons)."
3.1.1.1.2.1.2.3.2,Bottom Meson (Open Bottom),"A meson containing one bottom quark or antiquark, and a lighter antiquark or quark (e.g., B\(^0\) (d\(\bar{b}\)), B\(^+\) (u\(\bar{b}\)), B_s\(^0\) (s\(\bar{b}\)), B* mesons)."
3.1.1.1.2.1.2.3.3,Bc Meson,"A meson composed of a bottom quark and a charm antiquark (b\(\bar{c}\)) or a charm quark and a bottom antiquark (c\(\bar{b}\)) (e.g., B_c\(^+\))."
3.1.1.1.2.1.3,Exotic Hadron,A hadron that does not fit the traditional model of baryons (three quarks) or mesons (quark-antiquark).
3.1.1.1.2.1.3.1,Tetraquark,An exotic meson composed of four quarks (typically two quarks and two antiquarks: qqq̄q̄).
3.1.1.1.2.1.3.2,Pentaquark,An exotic baryon composed of five quarks (typically four quarks and one antiquark: qqqqq̄).
3.1.1.1.2.1.3.3,Glueball,"A hypothetical hadron composed primarily of gluons, with no valence quarks."
3.1.1.1.2.1.3.4,Hybrid Hadron,A hypothetical hadron containing valence quarks/antiquarks and one or more excited gluons.
3.1.1.1.2.2,Atomic Nucleus,"A composite subatomic particle forming the core of an atom, typically composed of one or more protons and zero or more neutrons (collectively called nucleons), bound together by the residual strong force (nuclear force)."
3.1.1.1.2.2.1,Protium Nucleus,"The nucleus of the most common isotope of hydrogen (\(^1\)H), consisting of a single proton. (This is the proton, in its role as a nucleus)."
3.1.1.1.2.2.10,Unstable Atomic Nucleus (Radionuclide) (Property Based Category),"An atomic nucleus that undergoes radioactive decay, transforming into another nuclide."
3.1.1.1.2.2.11,Exotic Atomic Nucleus (Composition/Structure Based Category),"An atomic nucleus with an unusual proton-to-neutron ratio, structure, or composition compared to stable nuclei."
3.1.1.1.2.2.11.1,Hypernucleus,An atomic nucleus that contains at least one hyperon in addition to nucleons.
3.1.1.1.2.2.11.2,Halo Nucleus,"An atomic nucleus with a compact core and one or more loosely bound nucleons forming a diffuse ""halo"" at a relatively large distance."
3.1.1.1.2.2.11.3,Superheavy Element Nucleus,"The nucleus of a superheavy element, typically with atomic number Z > 104, often characterized by short half-lives and unique decay modes."
3.1.1.1.2.2.2,Deuteron,"The nucleus of deuterium (\(^2\)H), an isotope of hydrogen, composed of one proton and one neutron."
3.1.1.1.2.2.3,Triton,"The nucleus of tritium (\(^3\)H), an isotope of hydrogen, composed of one proton and two neutrons."
3.1.1.1.2.2.4,Helion (Helium-3 Nucleus),"The nucleus of the helium-3 isotope (\(^3\)He), composed of two protons and one neutron."
3.1.1.1.2.2.5,Alpha Particle (Helium-4 Nucleus),"The nucleus of the helium-4 isotope (\(^4\)He), composed of two protons and two neutrons."
3.1.1.1.2.2.6,Light Atomic Nucleus (General Category),"An atomic nucleus with a relatively small number of nucleons (e.g., mass number A < 20), often characterized by specific stability properties."
3.1.1.1.2.2.7,Medium-Mass Atomic Nucleus (General Category),"An atomic nucleus with an intermediate number of nucleons (e.g., approximately 20 \(\le\) A \(\le\) 100)."
3.1.1.1.2.2.8,Heavy Atomic Nucleus (General Category),"An atomic nucleus with a large number of nucleons (e.g., A > 100)."
3.1.1.1.2.2.9,Stable Atomic Nucleus (Property Based Category),"An atomic nucleus that does not undergo radioactive decay, or decays with an extremely long half-life."
3.1.1.2,Atom,smallest unit of a chemical element.
3.1.1.2.1,Hydrogen Atom,
3.1.1.2.10,Neon Atom,
3.1.1.2.100,Fermium Atom,
3.1.1.2.101,Mendelevium Atom,
3.1.1.2.102,Nobelium Atom,
3.1.1.2.103,Lawrencium Atom,
3.1.1.2.104,Rutherfordium Atom,
3.1.1.2.105,Dubnium Atom,
3.1.1.2.106,Seaborgium Atom,
3.1.1.2.107,Bohrium Atom,
3.1.1.2.108,Hassium Atom,
3.1.1.2.109,Meitnerium Atom,
3.1.1.2.11,Sodium Atom,
3.1.1.2.110,Darmstadtium Atom,
3.1.1.2.111,Roentgenium Atom,
3.1.1.2.112,Copernicium Atom,
3.1.1.2.113,Nihonium Atom,
3.1.1.2.114,Flerovium Atom,
3.1.1.2.115,Moscovium Atom,
3.1.1.2.116,Livermorium Atom,
3.1.1.2.117,Tennessine Atom,
3.1.1.2.118,Oganesson Atom,
3.1.1.2.12,Magnesium Atom,
3.1.1.2.13,Aluminium Atom,
3.1.1.2.14,Silicon Atom,
3.1.1.2.15,Phosphorus Atom,
3.1.1.2.16,Sulfur Atom,
3.1.1.2.17,Chlorine Atom,
3.1.1.2.18,Argon Atom,
3.1.1.2.19,Potassium Atom,
3.1.1.2.2,Helium Atom,
3.1.1.2.20,Calcium Atom,
3.1.1.2.21,Scandium Atom,
3.1.1.2.22,Titanium Atom,
3.1.1.2.23,Vanadium Atom,
3.1.1.2.24,Chromium Atom,
3.1.1.2.25,Manganese Atom,
3.1.1.2.26,Iron Atom,
3.1.1.2.27,Cobalt Atom,
3.1.1.2.28,Nickel Atom,
3.1.1.2.29,Copper Atom,
3.1.1.2.3,Lithium Atom,
3.1.1.2.30,Zinc Atom,
3.1.1.2.31,Gallium Atom,
3.1.1.2.32,Germanium Atom,
3.1.1.2.33,Arsenic Atom,
3.1.1.2.34,Selenium Atom,
3.1.1.2.35,Bromine Atom,
3.1.1.2.36,Krypton Atom,
3.1.1.2.37,Rubidium Atom,
3.1.1.2.38,Strontium Atom,
3.1.1.2.39,Yttrium Atom,
3.1.1.2.4,Beryllium Atom,
3.1.1.2.40,Zirconium Atom,
3.1.1.2.41,Niobium Atom,
3.1.1.2.42,Molybdenum Atom,
3.1.1.2.43,Technetium Atom,
3.1.1.2.44,Ruthenium Atom,
3.1.1.2.45,Rhodium Atom,
3.1.1.2.46,Palladium Atom,
3.1.1.2.47,Silver Atom,
3.1.1.2.48,Cadmium Atom,
3.1.1.2.49,Indium Atom,
3.1.1.2.5,Boron Atom,
3.1.1.2.50,Tin Atom,
3.1.1.2.51,Antimony Atom,
3.1.1.2.52,Tellurium Atom,
3.1.1.2.53,Iodine Atom,
3.1.1.2.54,Xenon Atom,
3.1.1.2.55,Caesium Atom,
3.1.1.2.56,Barium Atom,
3.1.1.2.57,Lanthanum Atom,
3.1.1.2.58,Cerium Atom,
